0.147	3.94117	-0.0532896	30.1879
0.148	3.90138	-0.0616537	30.1073
0.149	3.86191	-0.0696119	30.0269
0.15	3.82275	-0.0771724	29.9466
0.151	3.78391	-0.0843432	29.8666
0.152	3.74539	-0.0911323	29.7867
0.153	3.70718	-0.0975474	29.707
0.154	3.66929	-0.103596	29.6276
0.155	3.63172	-0.109287	29.5483
0.156	3.59447	-0.114626	29.4692
0.157	3.55754	-0.119622	29.3903
0.158	3.52093	-0.124281	29.3116
0.159	3.48464	-0.128611	29.2331
0.16	3.44866	-0.13262	29.1548
0.161	3.41301	-0.136313	29.0767
0.162	3.37768	-0.139699	28.9988
0.163	3.34266	-0.142783	28.9211
0.164	3.30797	-0.145573	28.8436
0.165	3.27359	-0.148075	28.7663
0.166	3.23953	-0.150296	28.6892
0.167	3.20579	-0.152242	28.6123
0.168	3.17237	-0.153919	28.5356
0.169	3.13927	-0.155334	28.4591
0.17	3.10648	-0.156493	28.3828
0.171	3.07401	-0.157402	28.3068
0.172	3.04185	-0.158066	28.2309
0.173	3.01001	-0.158492	28.1552
0.174	2.97848	-0.158686	28.0798
0.175	2.94727	-0.158652	28.0045
0.176	2.91636	-0.158397	27.9295
0.177	2.88577	-0.157926	27.8547
0.178	2.85549	-0.157244	27.78
0.179	2.82552	-0.156357	27.7056
0.18	2.79585	-0.155269	27.6314
0.181	2.76649	-0.153986	27.5574
0.182	2.73744	-0.152514	27.4835
0.183	2.70869	-0.150856	27.4099
0.184	2.68025	-0.149017	27.3365
0.185	2.65211	-0.147003	27.2634
0.186	2.62427	-0.144817	27.1904
0.187	2.59673	-0.142465	27.1176
0.188	2.56948	-0.139951	27.045
0.189	2.54254	-0.137279	26.9726
0.19	2.51589	-0.134453	26.9004
0.191	2.48953	-0.131479	26.8285
0.192	2.46347	-0.128359	26.7567
0.193	2.43769	-0.125098	26.6851
0.194	2.41221	-0.121699	26.6138
0.195	2.38701	-0.118168	26.5426
0.196	2.36211	-0.114507	26.4716
0.197	2.33748	-0.11072	26.4009
0.198	2.31314	-0.106811	26.3303
0.199	2.28908	-0.102783	26.26
0.2	2.2653	-0.0986399	26.1898
0.201	2.2418	-0.0943854	26.1198
0.202	2.21858	-0.0900224	26.0501
0.203	2.19563	-0.0855542	25.9805
0.204	2.17295	-0.0809842	25.9111
0.205	2.15055	-0.0763153	25.842
0.206	2.12842	-0.0715506	25.773
0.207	2.10655	-0.0666931	25.7042
0.208	2.08495	-0.0617457	25.6356
0.209	2.06362	-0.0567113	25.5672
0.21	2.04254	-0.0515925	25.499
0.211	2.02173	-0.0463922	25.431
0.212	2.00118	-0.041113	25.3632
0.213	1.98089	-0.0357574	25.2956
